time,major,category,num_asleep,year,count
2/17/20 1:30,English,CAS,1.0,2021,2
2/17/20 1:30,Finance,Wharton,2.0,2021,2
2/17/20 1:30,Finance and Computer Science,NULL,1.0,2021,1
2/17/20 1:30,Business Analytics,Wharton,1.0,2020,2
2/17/20 1:30,Political Science,CAS,1.5,2023,2
2/17/20 1:30,BBB,CAS,2.5,2020,4
2/17/20 1:30,Misc,N/A,1.0,2022,1
2/17/20 1:30,Computer Science,ENG,1.0,2020,1
2/17/20 1:30,Undecided,NULL,1.0,2023,1
2/17/20 1:30,Music,CAS,1.0,2020,1
2/17/20 1:30,PPE,CAS,1.0,2020,1
2/17/20 1:30,Finance,Wharton,1.0,2020,2
2/17/20 1:30,Business Analytics,Wharton,1.5,2021,2
2/17/20 1:30,Economics,CAS,1.0,2021,1
2/17/20 1:30,Nursing,NURS,1.0,2022,1
2/17/20 1:30,Misc,N/A,2.5,2023,4
2/17/20 1:30,CBE,ENG,1.0,2023,2
2/17/20 1:30,Systems Engineering,NULL,1.5,2023,2
2/17/20 1:30,GSWS,CAS,1.0,2020,1
2/17/20 1:45,BBB,CAS,2.0,2023,2
2/17/20 1:45,Nutrition,CAS,1.0,2022,1
2/17/20 1:45,Computer Science,ENG,2.75,2023,4
2/17/20 1:45,Business Analytics,Wharton,1.75,2022,2
2/17/20 1:45,CBE,ENG,1.0,2021,2
2/17/20 1:45,Philosophy,CAS,1.0,2021,1
2/17/20 1:45,DMD,ENG,5.5,2021,7
2/17/20 1:45,Cognitive Science,NULL,1.0,2023,1
2/17/20 1:45,CBE,ENG,1.0,2022,2
2/17/20 1:45,Political Science,CAS,1.0,2021,2
2/17/20 1:45,OIDD,Wharton,2.0,2020,2
2/17/20 1:45,BBB,CAS,3.75,2022,6
2/17/20 1:45,Chemistry,CAS,1.0,2023,1
2/17/20 1:45,Computer Science,ENG,8.25,2022,21
2/17/20 1:45,International Studies and Business,NULL,1.0,2023,1
2/17/20 1:45,Statistics,Wharton,3.0,2021,3
2/17/20 1:45,Economics,CAS,1.75,2023,2
2/17/20 1:45,Nursing,NURS,1.0,2020,1
2/17/20 1:45,Mathematical Economics,CAS,1.0,2021,1
2/17/20 1:45,Finance,Wharton,2.75,2022,7
2/17/20 1:45,SSE,NULL,1.0,2020,1
2/17/20 1:45,Neuroscience,NULL,1.0,2022,1
2/17/20 1:45,BBB,CAS,2.0,2021,2
2/17/20 1:45,Misc,N/A,1.0,2021,1
2/17/20 1:45,Urban Studies,CAS,1.0,2022,1
2/17/20 1:45,Computer Science,ENG,11.25,2021,16
2/17/20 1:45,Political Science,CAS,1.0,2022,1
2/17/20 1:45,Misc,N/A,6.75,N/A,10
2/17/20 1:45,Statistics,Wharton,2.0,2020,2
