time,major,category,num_asleep
2/18/20 2:00,Economics,NULL,1
2/18/20 2:00,BBB,NULL,5
2/18/20 2:00,Finance and Computer Science,NULL,1
2/18/20 2:00,Business Analytics,NULL,5
2/18/20 2:00,Communications,NULL,1
2/18/20 2:00,Cognitive Science,NULL,2
2/18/20 2:00,English,NULL,1
2/18/20 2:00,Bioengineering,NULL,3
2/18/20 2:00,Chemistry,NULL,1
2/18/20 2:00,Chemical and Bioengineering,NULL,1
2/18/20 2:00,History,NULL,1
2/18/20 2:00,Nursing,NULL,2
2/18/20 2:00,PPE,NULL,1
2/18/20 2:00,DMD 2021,NULL,1
2/18/20 2:00,Misc,NULL,5
2/18/20 2:00,Urban Studies,NULL,1
2/18/20 2:00,Misc.1,NULL,1
2/18/20 2:00,2022,NULL,1
2/18/20 2:00,OIDD,NULL,2
2/18/20 2:00,Philosophy,NULL,1
2/18/20 3:00,Systems Engineering,NULL,2
2/18/20 3:00,Statisticsistics,NULL,1
2/18/20 3:00,Statistics,NULL,5
2/18/20 3:00,DMD,NULL,6
2/18/20 3:00,ECON,NULL,1
2/18/20 3:00,Mathematical Economics,NULL,1
2/18/20 3:00,Political Science,HUM,4
2/18/20 3:00,Commications,NULL,1
2/18/20 3:00,Nutrition,NULL,2
2/18/20 3:00,Biology,NULL,2
2/18/20 3:00,Finance,NULL,7
2/18/20 3:00,Mechanical Engineering,NULL,1
2/18/20 3:00,Fine Arts,NULL,1
2/18/20 3:00,Marketing,NULL,1
2/18/20 3:00,Econ,NULL,1
2/18/20 3:00,Computer Science,STEM,28
2/18/20 3:00,SSE 2020,NULL,1
2/18/20 3:00,Finance 2021,NULL,1
2/18/20 3:00,International Studies and Business,NULL,1
2/18/20 3:00,Katie Busch,NULL,1
2/18/20 3:00,biology,NULL,1
2/18/20 3:00,PPE & GSWS,NULL,1
2/18/20 3:00,Brendan Yoo,NULL,1
2/18/20 3:00,Economics,NULL,1
2/18/20 3:00,BBB,NULL,5
2/18/20 3:00,Finance and Computer Science,NULL,1
2/18/20 3:00,Business Analytics,NULL,5
2/18/20 3:00,Communications,NULL,1
2/18/20 3:00,Cognitive Science,NULL,2
2/18/20 3:00,English,NULL,1
2/18/20 3:00,Bioengineering,NULL,3
2/18/20 3:00,Chemistry,NULL,1
2/18/20 3:00,Chemical and Bioengineering,NULL,1
2/18/20 3:00,History,NULL,1
2/18/20 3:00,Nursing,NULL,2
2/18/20 3:00,PPE,NULL,3
